Millis,ID,B0,B1,B2,B3,B4,B5,B6,B7
87508,50c,78,5,1,,,,,
87510,534,51,8,,,,,,
87513,504,0,1a,1,,,,,
87513,513,0,0,0,0,,,,
87517,512,0,0,0,0,,,,
87518,510,77,5,0,,,,,
87518,500,4,,,,,,,
87520,54c,0c,c0,0,0c,90,0,,
87521,55c,18,,,,,,,
87522,504,0,1a,1,,,,,
87528,564,17,,,,,,,
87529,500,4,,,,,,,
87532,528,0,,,,,,,
87532,534,48,8,,,,,,
87533,504,0,1a,1,,,,,
87537,554,0,0,0,0,,,,
87537,548,0e,d0,0,a9,c0,0,,
87537,513,0,0,0,0,,,,
87538,540,8,a0,0,0c,b0,0,,
87539,524,0,0,0,0,5,0,5,9
87539,508,0,0,0,0,3,,,
87539,509,ab,5,f4,1,54,3,,
87542,538,0,0,aa,2,98,2,fc,1
87542,500,4,,,,,,,
87542,514,0,4,0,,,,,
87543,512,0,0,0,0,,,,
87543,544,0a,90,0,8,30,5,,
87544,504,0,1a,1,,,,,
87551,500,4,,,,,,,
87553,520,0,9,5,5,3,5,5,4
87553,534,48,8,,,,,,
87555,504,0,1a,1,,,,,
87560,50c,7f,5,1,,,,,
87561,560,17,,,,,,,
87563,500,4,,,,,,,
87565,513,0,0,0,0,,,,
87566,504,0,1a,1,,,,,
87569,512,0,0,0,0,,,,
87571,54c,0c,c0,0,0c,90,0,,
87573,500,4,,,,,,,
87575,534,52,8,,,,,,
87577,504,0,1a,1,,,,,
87584,500,4,,,,,,,
87588,504,0,1a,1,,,,,
87589,548,0e,d0,0,89,c0,0,,
87589,524,0,0,0,0,5,0,5,9
87590,540,7,90,0,0c,b0,0,,
87590,508,0,0,0,0,3,,,
87591,509,af,5,f5,1,59,3,,
87591,538,0,0,aa,2,98,2,ff,1
87591,513,0,0,0,0,,,,
87595,512,0,0,0,0,,,,
87598,500,4,,,,,,,
87598,544,0a,90,0,8,30,5,,
87598,534,48,8,,,,,,
87599,504,0,1a,1,,,,,
87605,520,0,9,5,5,3,5,5,4
87606,52c,0,,,,,,,
87606,500,4,,,,,,,
87610,50c,83,5,1,,,,,
87610,504,0,1a,1,,,,,
87616,513,0,0,0,0,,,,
87619,534,49,8,,,,,,
87620,500,4,,,,,,,
87620,510,79,5,0,,,,,
87621,512,0,0,0,0,,,,
87621,504,0,1a,1,,,,,
87623,54c,0c,c0,0,0c,90,0,,
87628,500,4,,,,,,,
87629,564,17,,,,,,,
87632,504,0,1a,1,,,,,
87633,528,0,,,,,,,
87639,534,4f,8,,,,,,
87639,500,4,,,,,,,
87640,540,7,a0,0,0c,b0,0,,
87641,508,0,0,0,0,3,,,
87641,509,ab,5,f4,1,59,3,,
87641,538,0,0,aa,2,98,2,ff,1
87641,524,0,0,0,0,5,0,5,9
87641,548,0f,d0,0,a2,c0,0,,
87642,514,0,4,0,,,,,
87642,513,0,0,0,0,,,,
87646,504,0,1a,1,,,,,
87647,544,0a,90,0,8,30,5,,
87647,512,0,0,0,0,,,,
87650,500,4,,,,,,,
87654,504,0,1a,1,,,,,
87655,520,0,9,5,5,3,5,5,4
87658,550,17,17,17,0,,,,
87659,534,48,8,,,,,,
87661,500,4,,,,,,,
87661,50c,84,5,1,,,,,
87665,504,0,1a,1,,,,,
87668,513,0,0,0,0,,,,
87672,500,4,,,,,,,
87673,512,0,0,0,0,,,,
87674,54c,0c,c0,0,0c,90,0,,
87675,570,17,,,,,,,
87676,504,0,1a,1,,,,,
87682,534,4a,8,,,,,,
87683,500,4,,,,,,,
87687,504,0,1a,1,,,,,
