Millis	ID	B0	B1	B2	B3	B4	B5	B6	B7
20435	513	0	0	0	0				
20439	504	0	1a	1					
20439	550	19	19	18	0				
20440	508	ff	ff	0	0	0			
20440	509	0	0	0	0	0	0		
20440	538	0	0	0	0	0	0	0	0
20443	500	4							
20450	504	0	1a	1					
20454	534	78	8						
20457	512	0	0	0	0				
20457	500	4							
20458	540	8	a0	0	0d	c0	0		
20460	548	10	d0	0	0b	c0	0		
20460	54c	0c	d0	0	0c	90	0		
20460	570	19							
20460	510	78	5	0					
20461	504	0	1a	1					
20461	513	0	0	0	0				
20464	50c	86	1	0					
20467	554	0	0	0	0				
20467	500	4							
20469	528	0							
20472	504	0	1a	1					
20473	524	0	0	0	0	5	0	5	9
20476	544	0b	a0	0	9	d0	5		
20476	534	79	8						
20476	520	0	9	5	5	3	5	4	4
20477	500	4							
20481	512	0	0	0	0				
20484	568	18							
20484	504	0	1a	1					
20487	513	0	0	0	0				
20488	52c	0							
20488	500	4							
20488	56c	19							
20491	508	ff	ff	0	0	0			
20491	509	0	0	0	0	0	0		
20491	538	0	0	0	0	0	0	0	0
20494	504	0	1a	1					
20497	534	78	8						
20499	500	4							
20505	504	0	1a	1					
20507	512	0	0	0	0				
20509	55c	18							
20510	540	8	a0	0	0d	c0	0		
20512	500	4							
20512	548	10	d0	0	0b	c0	0		
20512	54c	0c	d0	0	0c	90	0		
20513	513	0	0	0	0				
20516	50c	82	1	0					
20517	504	0	1a	1					
20519	534	78	8						
20519	514	0	2	0					
20520	564	18							
20522	500	4							
20525	524	0	0	0	0	5	0	5	9
20527	504	0	1a	1					
20527	544	0b	a0	0	9	c0	5		
20527	520	0	9	5	5	3	5	4	4
20533	500	4							
20533	512	0	0	0	0				
20538	504	0	1a	1					
20539	513	0	0	0	0				
20541	534	78	8						
20542	508	ff	ff	0	0	0			
20542	509	0	0	0	0	0	0		
20542	538	0	0	0	0	0	0	0	0
20543	560	18							
20544	500	4							
20549	504	0	1a	1					
20555	500	4							
20559	512	0	0	0	0				
20560	504	0	1a	1					
20560	540	8	b0	0	0d	c0	0		
20561	510	79	5	0					
20563	534	78	8						
20564	548	10	d0	0	0c	c0	0		
20564	54c	0c	d0	0	0c	90	0		
20565	513	0	0	0	0				
20568	50c	85	1	0					
20569	500	4							
20571	528	0							
20572	504	0	1a	1					
20577	524	0	0	0	0	5	0	5	9
20578	500	4							
